date,content,predicted_labels
2022-10-06 23:59:59+00:00,He's looks so cuddly in that sweater ðŸ˜š and he even talking to the reporters cutely...safe flight baby! https://t.co/K1ZnJvR1a4,surprise
2022-10-06 23:59:59+00:00,"so as the months get colder, i'm less sober",no emotion
2022-10-06 23:59:59+00:00,"@jcasper11 @LightCrownA @katie_robertson @maggieNYT I read the newspaper every day. It speaks to issues affecting the community I live in, it covers local events from music, art to air shows and pumpkin patches. And yes, I like the editorials because I like being informed I can exercise my own critical analysis ðŸ˜‰",no emotion
2022-10-06 23:59:59+00:00,"@mirna0722 WIP1 - Svenja will try to be polite unless the person says or does something to attack/offend someone she cares about.

WIP2 - Aveza almost finds it more fun to interact with people she dislikes, since then she gets to mess with them and threaten their life.",no emotion
2022-10-06 23:59:59+00:00,@AmericanAnemoia @Partisangirl Good recap https://t.co/CRmSyQmnjv,no emotion
2022-10-06 23:59:59+00:00,@demindblower He appeared in the In Memoriam slot of the Baftas immediately after his death. And I reckon most millionaires prefered Thatcher to Hoskins. He was still brilliant though.,happiness
2022-10-06 23:59:59+00:00,@Perkinson_ @Red_Alf_Muz @goal Because we know there is England B,no emotion
2022-10-06 23:59:59+00:00,:O properly named DPs! (minus ken but you get the point) https://t.co/vopQoZGXNF,no emotion
2022-10-06 23:59:59+00:00,"@Favour335 That other fanbase, they even opened a space about it yesterday",no emotion
2022-10-06 23:59:59+00:00,@1421cart prettyyyyy omg &lt;3,surprise
